rho,step,survival,breach_rate,mean_safe_steps,n_episodes,horizon
0.500,36,0.445000,0.650000,30.580000,200,48
0.500,37,0.415000,0.650000,30.580000,200,48
0.500,38,0.415000,0.650000,30.580000,200,48
0.500,39,0.400000,0.650000,30.580000,200,48
0.500,40,0.400000,0.650000,30.580000,200,48
0.500,41,0.385000,0.650000,30.580000,200,48
0.500,42,0.385000,0.650000,30.580000,200,48
0.500,43,0.375000,0.650000,30.580000,200,48
0.500,44,0.375000,0.650000,30.580000,200,48
0.500,45,0.370000,0.650000,30.580000,200,48
0.500,46,0.370000,0.650000,30.580000,200,48
0.500,47,0.350000,0.650000,30.580000,200,48
0.500,48,0.350000,0.650000,30.580000,200,48
1.000,1,1.000000,0.000000,49.000000,200,48
1.000,2,1.000000,0.000000,49.000000,200,48
1.000,3,1.000000,0.000000,49.000000,200,48
1.000,4,1.000000,0.000000,49.000000,200,48
1.000,5,1.000000,0.000000,49.000000,200,48
1.000,6,1.000000,0.000000,49.000000,200,48
1.000,7,1.000000,0.000000,49.000000,200,48
1.000,8,1.000000,0.000000,49.000000,200,48
1.000,9,1.000000,0.000000,49.000000,200,48
1.000,10,1.000000,0.000000,49.000000,200,48
1.000,11,1.000000,0.000000,49.000000,200,48
1.000,12,1.000000,0.000000,49.000000,200,48
1.000,13,1.000000,0.000000,49.000000,200,48
1.000,14,1.000000,0.000000,49.000000,200,48
1.000,15,1.000000,0.000000,49.000000,200,48
1.000,16,1.000000,0.000000,49.000000,200,48
1.000,17,1.000000,0.000000,49.000000,200,48
1.000,18,1.000000,0.000000,49.000000,200,48
1.000,19,1.000000,0.000000,49.000000,200,48
1.000,20,1.000000,0.000000,49.000000,200,48
1.000,21,1.000000,0.000000,49.000000,200,48
1.000,22,1.000000,0.000000,49.000000,200,48
1.000,23,1.000000,0.000000,49.000000,200,48
1.000,24,1.000000,0.000000,49.000000,200,48
1.000,25,1.000000,0.000000,49.000000,200,48
1.000,26,1.000000,0.000000,49.000000,200,48
1.000,27,1.000000,0.000000,49.000000,200,48
1.000,28,1.000000,0.000000,49.000000,200,48
1.000,29,1.000000,0.000000,49.000000,200,48
1.000,30,1.000000,0.000000,49.000000,200,48
1.000,31,1.000000,0.000000,49.000000,200,48
1.000,32,1.000000,0.000000,49.000000,200,48
1.000,33,1.000000,0.000000,49.000000,200,48
1.000,34,1.000000,0.000000,49.000000,200,48
1.000,35,1.000000,0.000000,49.000000,200,48
1.000,36,1.000000,0.000000,49.000000,200,48
1.000,37,1.000000,0.000000,49.000000,200,48
1.000,38,1.000000,0.000000,49.000000,200,48
1.000,39,1.000000,0.000000,49.000000,200,48
1.000,40,1.000000,0.000000,49.000000,200,48
1.000,41,1.000000,0.000000,49.000000,200,48
1.000,42,1.000000,0.000000,49.000000,200,48
1.000,43,1.000000,0.000000,49.000000,200,48
1.000,44,1.000000,0.000000,49.000000,200,48
1.000,45,1.000000,0.000000,49.000000,200,48
1.000,46,1.000000,0.000000,49.000000,200,48
1.000,47,1.000000,0.000000,49.000000,200,48
1.000,48,1.000000,0.000000,49.000000,200,48
