oracle_call,neural_reward,blind_reward,single_reward,neural_silent,blind_silent
508,219.000,54.000,35.500,0,0
509,219.500,54.000,36.000,0,0
510,220.000,54.500,36.000,0,0
511,220.500,54.500,36.000,0,0
512,221.000,54.500,36.000,0,0
513,221.500,54.500,36.000,0,0
514,222.000,54.500,36.000,0,0
515,222.500,55.000,36.000,0,0
516,223.000,55.000,36.000,0,0
517,223.000,55.000,36.000,0,0
518,223.500,55.000,36.000,0,0
519,224.000,55.000,36.000,0,0
520,224.000,55.000,36.000,0,0
521,224.500,55.000,36.000,0,0
522,225.000,55.500,36.000,0,0
523,225.500,55.500,36.000,0,0
524,226.000,55.500,36.000,0,0
525,226.500,55.500,36.000,0,0
526,227.000,56.000,36.000,0,0
527,227.500,56.000,36.000,0,0
528,228.000,56.000,36.000,0,0
529,228.500,56.000,36.000,0,0
530,229.000,56.000,36.000,0,0
531,229.500,56.000,36.000,0,0
532,230.000,56.000,36.000,0,0
533,230.500,56.500,36.000,0,0
534,231.000,56.500,36.500,0,0
535,231.500,56.500,37.000,0,0
536,232.000,56.500,37.000,0,0
537,232.500,56.500,37.000,0,0
538,233.000,56.500,37.000,0,0
539,233.500,56.500,37.000,0,0
540,234.000,56.500,37.000,0,0
541,234.500,56.500,37.000,0,0
542,235.000,56.500,37.000,0,0
543,235.500,56.500,37.000,0,0
544,236.000,56.500,37.500,0,0
545,236.500,56.500,37.500,0,0
546,237.000,56.500,37.500,0,0
547,237.500,57.000,37.500,0,0
548,238.000,57.500,38.000,0,0
549,238.500,57.500,38.000,0,0
550,239.000,58.000,38.000,0,0
551,239.500,58.000,38.000,0,0
552,240.000,58.000,38.500,0,0
553,240.500,58.000,38.500,0,0
554,241.000,58.000,38.500,0,0
555,241.500,58.000,38.500,0,0
556,242.000,58.500,38.500,0,0
557,242.500,58.500,38.500,0,0
558,243.000,58.500,38.500,0,0
559,243.500,59.000,38.500,0,0
560,244.000,59.000,38.500,0,0
561,244.500,59.000,38.500,0,0
562,245.000,59.000,38.500,0,0
563,245.500,59.000,38.500,0,0
564,246.000,59.500,38.500,0,0
565,246.500,59.500,39.000,0,0
566,247.000,59.500,39.000,0,0
567,247.500,59.500,39.000,0,0
568,248.000,59.500,39.000,0,0
569,248.500,59.500,39.500,0,0
570,249.000,60.000,39.500,0,0
571,249.500,60.000,39.500,0,0
572,250.000,60.500,39.500,0,0
573,250.500,61.000,39.500,0,0
574,251.000,61.500,39.500,0,0
575,251.500,61.500,39.500,0,0
576,252.000,62.000,39.500,0,0
577,252.500,62.000,39.500,0,0
578,253.000,62.000,39.500,0,0
579,253.500,62.000,39.500,0,0
580,254.000,62.000,39.500,0,0
581,254.500,62.000,39.500,0,0
582,255.000,62.500,39.500,0,0
583,255.500,62.500,39.500,0,0
584,256.000,62.500,39.500,0,0
585,256.500,62.500,39.500,0,0
586,257.000,62.500,39.500,0,0
587,257.500,62.500,39.500,0,0
588,258.000,62.500,39.500,0,0
589,258.500,62.500,39.500,0,0
590,259.000,62.500,39.500,0,0
591,259.500,62.500,40.000,0,0
592,260.000,63.000,40.000,0,0
593,260.500,63.000,40.000,0,0
594,261.000,63.000,40.000,0,0
