oracle_call,base_reward,folded_reward
664,295.500,0.000
665,296.000,0.000
666,296.500,0.000
667,297.000,0.000
668,297.500,0.000
669,298.000,0.000
670,298.500,0.000
671,299.000,0.000
672,299.500,0.000
673,300.000,0.000
674,300.500,0.000
675,300.500,0.000
676,301.000,0.000
677,301.500,0.000
678,302.000,0.000
679,302.500,0.000
680,303.000,0.000
681,303.500,0.000
682,304.000,0.000
683,304.500,0.000
684,305.000,0.000
685,305.500,0.000
686,306.000,0.000
687,306.500,0.000
688,307.000,0.000
689,307.500,0.000
690,308.000,0.000
691,308.500,0.000
692,309.000,0.000
693,309.500,0.000
694,310.000,0.000
695,310.500,0.000
696,311.000,0.000
697,311.500,0.000
698,312.000,0.000
699,312.500,0.000
700,313.000,0.000
701,313.500,0.000
702,314.000,0.000
703,314.500,0.000
704,315.000,0.000
705,315.500,0.000
706,316.000,0.000
707,316.500,0.000
708,317.000,0.000
709,317.500,0.000
710,318.000,0.000
711,318.500,0.000
712,319.000,0.000
713,319.500,0.000
714,320.000,0.000
715,320.500,0.000
716,321.000,0.000
717,321.500,0.000
718,322.000,0.000
719,322.500,0.000
720,323.000,0.000
721,323.500,0.000
722,324.000,0.000
723,324.500,0.000
724,325.000,0.000
725,325.500,0.000
726,326.000,0.000
727,326.500,0.000
728,327.000,0.000
729,327.500,0.000
730,328.000,0.000
731,328.500,0.000
732,329.000,0.000
733,329.500,0.000
734,330.000,0.000
735,330.500,0.000
736,331.000,0.000
737,331.500,0.000
738,332.000,0.000
739,332.500,0.000
740,333.000,0.000
741,333.500,0.000
742,334.000,0.000
743,334.500,0.000
744,335.000,0.000
745,335.500,0.000
746,336.000,0.000
747,336.500,0.000
748,336.500,0.000
749,337.000,0.000
750,337.500,0.000
751,338.000,0.000
752,338.500,0.000
753,339.000,0.000
754,339.500,0.000
755,340.000,0.000
756,340.500,0.000
757,341.000,0.000
758,341.500,0.000
759,342.000,0.000
760,342.500,0.000
761,343.000,0.000
762,343.500,0.000
763,344.000,0.000
764,344.500,0.000
765,345.000,0.000
766,345.500,0.000
767,346.000,0.000
768,346.500,0.000
769,347.000,0.000
770,347.500,0.000
771,348.000,0.000
772,348.500,0.000
773,349.000,0.000
774,349.500,0.000
775,350.000,0.000
776,350.500,0.000
777,351.000,0.000
778,351.500,0.000
779,352.000,0.000
780,352.500,0.000
781,353.000,0.000
782,353.500,0.000
783,354.000,0.000
784,354.500,0.000
785,355.000,0.000
786,355.500,0.000
787,356.000,0.000
788,356.500,0.000
789,357.000,0.000
790,357.500,0.000
791,358.000,0.000
792,358.500,0.000
793,359.000,0.000
794,359.500,0.000
795,360.000,0.000
796,360.500,0.000
797,361.000,0.000
798,361.500,0.000
799,362.000,0.000
800,362.500,0.000
801,363.000,0.000
802,363.500,0.000
803,364.000,0.000
804,364.500,0.000
805,365.000,0.000
806,365.500,0.000
807,366.000,0.000
808,366.500,0.000
809,367.000,0.000
810,367.500,0.000
811,368.000,0.000
812,368.500,0.000
813,369.000,0.000
814,369.500,0.000
815,370.000,0.000
816,370.500,0.000
817,371.000,0.000
818,371.500,0.000
819,372.000,0.000
820,372.500,0.000
821,373.000,0.000
822,373.500,0.000
823,374.000,0.000
824,374.500,0.000
825,375.000,0.000
826,375.500,0.000
827,376.000,0.000
828,376.500,0.000
829,377.000,0.000
830,377.500,0.000
831,378.000,0.000
832,378.500,0.000
833,379.000,0.000
834,379.500,0.000
835,380.000,0.000
836,380.500,0.000
837,381.000,0.000
838,381.500,0.000
839,382.000,0.000
840,382.500,0.000
841,383.000,0.000
842,383.000,0.000
843,383.500,0.000
844,384.000,0.000
845,384.500,0.000
846,385.000,0.000
847,385.500,0.000
848,386.000,0.000
849,386.500,0.000
850,387.000,0.000
851,387.500,0.000
852,388.000,0.000
853,388.500,0.000
854,389.000,0.000
855,389.500,0.000
856,390.000,0.000
857,390.500,0.000
858,391.000,0.000
859,391.500,0.000
860,392.000,0.000
861,392.500,0.000
862,393.000,0.000
863,393.500,0.000
864,394.000,0.000
865,394.500,0.000
866,395.000,0.000
867,395.500,0.000
868,395.500,0.000
869,396.000,0.000
870,396.500,0.000
871,397.000,0.000
872,397.500,0.000
873,398.000,0.000
874,398.500,0.000
875,399.000,0.000
876,399.500,0.000
877,400.000,0.000
878,400.500,0.000
879,401.000,0.000
880,401.500,0.000
881,402.000,0.000
882,402.500,0.000
883,403.000,0.000
884,403.500,0.000
885,404.000,0.000
886,404.500,0.000
887,405.000,0.000
888,405.500,0.000
889,406.000,0.000
890,406.500,0.000
891,407.000,0.000
892,407.500,0.000
893,408.000,0.000
894,408.500,0.000
895,409.000,0.000
896,409.500,0.000
897,410.000,0.000
898,410.500,0.000
899,411.000,0.000
900,411.500,0.000
901,412.000,0.000
902,412.500,0.000
903,413.000,0.000
904,413.500,0.000
905,414.000,0.000
906,414.500,0.000
907,415.000,0.000
908,415.000,0.000
909,415.500,0.000
910,416.000,0.000
911,416.500,0.000
912,417.000,0.000
913,417.500,0.000
914,418.000,0.000
915,418.500,0.000
916,418.500,0.000
917,419.000,0.000
918,419.500,0.000
919,420.000,0.000
920,420.000,0.000
921,420.500,0.000
922,421.000,0.000
923,421.500,0.000
924,422.000,0.000
925,422.500,0.000
926,423.000,0.000
927,423.500,0.000
928,424.000,0.000
929,424.500,0.000
930,425.000,0.000
931,425.500,0.000
932,426.000,0.000
933,426.500,0.000
934,427.000,0.000
935,427.500,0.000
936,428.000,0.000
937,428.500,0.000
938,429.000,0.000
939,429.500,0.000
940,430.000,0.000
941,430.500,0.000
942,431.000,0.000
943,431.500,0.000
944,432.000,0.000
945,432.500,0.000
946,433.000,0.000
947,433.500,0.000
948,434.000,0.000
949,434.500,0.000
950,435.000,0.000
951,435.500,0.000
952,436.000,0.000
953,436.500,0.000
954,437.000,0.000
955,437.500,0.000
956,438.000,0.000
957,438.500,0.000
958,439.000,0.000
959,439.500,0.000
960,440.000,0.000
961,440.500,0.000
962,441.000,0.000
963,441.500,0.000
964,442.000,0.000
965,442.500,0.000
966,443.000,0.000
967,443.000,0.000
968,443.500,0.000
969,444.000,0.000
970,444.500,0.000
971,445.000,0.000
972,445.500,0.000
973,446.000,0.000
974,446.500,0.000
975,447.000,0.000
976,447.500,0.000
977,448.000,0.000
978,448.500,0.000
979,449.000,0.000
980,449.500,0.000
981,450.000,0.000
982,450.500,0.000
983,451.000,0.000
984,451.500,0.000
985,452.000,0.000
986,452.500,0.000
987,453.000,0.000
988,453.500,0.000
989,454.000,0.000
990,454.500,0.000
991,455.000,0.000
992,455.500,0.000
993,456.000,0.000
994,456.500,0.000
995,457.000,0.000
996,457.500,0.000
997,458.000,0.000
998,458.500,0.000
999,459.000,0.000
1000,459.500,0.000
1001,460.000,0.000
1002,460.500,0.000
1003,461.000,0.000
1004,461.500,0.000
1005,462.000,0.000
1006,462.500,0.000
1007,463.000,0.000
1008,463.500,0.000
1009,464.000,0.000
1010,464.500,0.000
1011,465.000,0.000
1012,465.500,0.000
1013,466.000,0.000
1014,466.500,0.000
1015,466.500,0.000
1016,467.000,0.000
1017,467.500,0.000
